category,Business Name,phone,address,website,member_since,Status
accountants-cpas,CBIZ,,"4 Manhattanville Road Suite 400, Purchase, NY 10577",https://www.cbiz.com/,Member Since: 2009,Processed
accountants-cpas,"Censullo, Gupta & Associates, CPA, LLP",,"80 Business Park Dr. Suite 208, Armonk, NY 10504",https://www.cgallp.com/,Member Since: 2020,Processed
accountants-cpas,CFGI,,"340 Madison Ave 3rd Floor, New York, NY 10173",https://www.cfgi.com/,Member Since: 2024,Processed
accountants-cpas,CohnReznick,,"10 Bank Street , White Plains, NY 10606",https://www.cohnreznick.com/,Member Since: 2011,Processed
accountants-cpas,"Deodat S. Singh, CPA PC",,"2 Lyon Place, White Plains, NY 10601",https://www.dsinghcpa.com/,Member Since: 2013,Processed
accountants-cpas,DSG Advisory CPA,,"50 Main Street Suite 1000, White Plains, NY 10606",https://www.dsgadvisorycpa.com/,Member Since: 2023,Processed
accountants-cpas,FiBrick,(646) 242-3326,"145 Palisade Street Suite 200, Dobbs Ferry, NY 10522",https://www.fibrick.com/,Member Since: 2025,Processed
accountants-cpas,Grassi,(914) 849-0320,"2 Westchester Park Drive Suite 200 , White Plains, NY 10604",https://www.grassicpas.com/,Member Since: 2016,Processed
accountants-cpas,Linza Catalyst,,"487 E Main St #283, Mount Kisco, NY 10549",https://www.linzaadvisors.com/,Member Since: 2023,Processed
accountants-cpas,Maier Markey & Justic LLP,(914) 644-9207,"2 Lyon Place Suite 400, White Plains, NY 10601",https://www.citrincooperman.com/,Member Since: 2002,Processed
accountants-cpas,Masterpiece Accounting Services,,"92 North Ave Suite 4, New Rochelle, NY 10801",https://masterpieceaccounting.com/,Member Since: 2025,Processed
accountants-cpas,"Peter B. Scala, CPA, LLC",,"775 Park Avenue Suite 255, Huntington , NY 11743",https://www.pbscalacpa.com/,Member Since: 2018,Processed
accountants-cpas,"PKF O'Connor Davies, LLP",,"500 Mamaroneck Avenue Suite 301, Harrison, NY 10528",https://www.pkfod.com/,Member Since: 2002,Processed
accountants-cpas,"RBT CPAs, LLP",(845) 567-9000,,https://www.rbtcpas.com/,Member Since: 2025,Processed
accountants-cpas,SAEL Bookkeeping & Accounting,,"15 Pumphouse Rd Suite A, Brewster, NY 10509",https://www.bookkeeping-accountingservices.com/,Member Since: 2025,Processed
accountants-cpas,TEG Federal Credit Union,,"1 Commerce Street, Poughkeepsie, NY 12603",https://www.tegfcu.com/,Member Since: 2024,Processed
accountants-cpas,"Walker Advisory, LLC",(860) 806-4257,,https://www.walker-advisory.com/,Member Since: 2024,Processed
accountants-cpas,"Arthur DeDominicis, CPA",(845) 298-1040,"1100 Route 9, Fishkill, NY 12524",https://www.artcpa.com/,Member Since: 2001,Processed
accountants-cpas,"Blum & Bernstein, LLP",(914) 631-1010,"220 White Plains Road 3rd Floor, Tarrytown, NY 10591",,Member Since: 2011,Processed
advertising,C&A Digital,,"1 North Broadway Suite 1401, White Plains, NY 10601",https://www.cadigitalny.com/,Member Since: 2019,Processed
advertising,"Cherokee Communications, Inc.",(845) 638-6700,"11 River Rise Rd., New City, NY 10956",https://www.millercherokee.com/,Member Since: 2024,Processed
advertising,"Don Blauweiss Advertising & Design, Inc.",(914) 588-4083,"106 East Main Street , Washingtonville, NY 10992",https://www.blauweissadvertising.com/,Member Since: 2003,Processed
advertising,GMG Public Relations,,"53 Hudson Avenue Suite 226, Nyack, NY 10960",https://www.gmgpr.com/,Member Since: 2019,Processed
advertising,Inspiria Outdoor Advertising,"Inspiria is an outdoor advertising firm focusing on everything from airports and buses to commuter rail (metro north), taxis and nyc subway ads.","10 Mitchell Place Suite 201, White Plains, NY 10601",https://www.inspiriaoutdoor.com/,Member Since: 2009,Processed
advertising,"Sharc Creative, Inc.",(866) 742-7299,"PO Box 517, Purchase, NY 10577",https://www.sharconhold.com/,Member Since: 2002,Processed
advertising,TruBridge,(914) 714-4458,,https://www.trubridge.biz/,Member Since: 2024,Processed
advertising,"United Corporate Services, Inc.",,"10 Bank Street Suite 560, White Plains, NY 10606",https://www.unitedcorporate.com/,Member Since: 2023,Processed
advertising,"Weinrib & Connor, Inc.",,"297 Knollwood Road The Penthouse, White Plains, NY 10607",https://www.weinconn.com/,Member Since: 2021,Processed
advertising,Westchester Retail Network,(845) 598-3100,"104 Farm Road, Briarcliff Manor, NY, NY 10510-1010",https://www.westchesterretailnetwork.com/,Member Since: 2025,Processed
advertising,Ashworth Creative,,"70 Dutchess Landing Road Suite #9 , Poughkeepsie, NY 12601",https://www.ashworthcreative.com/,,Processed
advertising,Optimum Media/News 12,(914) 326-1080,"2 Saw Mill River Road, Hawthorne, NY 10532",https://www.optimum.media/,Member Since: 2010,Processed
aging-issues-&-services,Honora Care Management & Consulting,,"650 Halstead Avenue Suite 201-D, Mamaroneck, NY 10543",https://www.honoracmc.com/,Member Since: 2020,Processed
aging-issues-&-services,Insight Eldercare,(914) 893-2292,"P.O. Box 227 , White Plains, NY 10602",https://www.insighteldercare.com/,Member Since: 2025,Processed
aging-issues-&-services,"Caring Transitions, LLC",,"48 Brook Farm Road, Bedford, NY 10506",https://www.caringtransitionsofkatonah.com/,Member Since: 2024,Processed
air-charters,Million Air,,"136 Tower Road Hangar M, White Plains, NY 10604",https://www.millionair.com/,Member Since: 2015,Processed
air-charters,NetJets,,,https://www.netjets.com/,Member Since: 2021,Processed
air-charters,SkyQueen Realty,,"136 Tower Road, Suite 290 Westchester County Airport, White Plains, NY 10604",https://www.skyqueenrealty.com/,Member Since: 2015,Processed
air-quality-testing,MoldTec,,"22 Revolutionary Road, Ossining, NY 10562",https://www.moldtecllc.com/,Member Since: 2024,Processed
airlines,Delta Air Lines,(212) 259-2005,"11 West 42nd Street Suite 22B2, New York, NY 10136",https://www.delta.com/,Member Since: 2019,Processed
airlines,JetBlue Airways,,"27-01 Queens Plaza North 6th floor, Long Island City, NY 11101",https://www.jetblue.com/,Member Since: 2023,Processed
airlines,NetJets,,,https://www.netjets.com/,Member Since: 2021,Processed
airports,Westchester County Airport,,"240 Airport Road Suite 202, White Plains, NY 10604",https://airport.westchestergov.com/,Member Since: 2020,Processed
appliances,P.C. Richard & Son,(914) 779-8880,"2323 Central Park Avenue, Yonkers, NY 10710",https://www.pcrichard.com/,Member Since: 2022,Processed
architecture-architects,Antonio Maiuolo Architect PLLC,(914) 816-0263,"75 VIRGINIA ROAD SUITE W6, White Plains, NY 10603",https://www.amaarch.com/,Member Since: 2025,Processed
architecture-architects,DTS Provident Design Engineering,,"One North Broadway, White Plains, NY 10601",https://www.dtsprovident.com/,Member Since: 2019,Processed
architecture-architects,GF55 Architects,o (212) 352-3099,"225 West 39th Street, New York, NY 10018",https://www.gf55.com/,Member Since: 2025,Processed
architecture-architects,"LaBella Associates, D.P.C.",,"1 N. Broadway Suite 803, White Plains, NY 10601",https://www.labellapc.com/,Member Since: 2016,Processed
architecture-architects,"LGI Forensic Engineering, P.C.",,"7 Reservoir Road, North White Plains, NY 10603",https://www.lgiforensic.com/,Member Since: 2016,Processed
architecture-architects,Lothrop Associates Architects,(914) 741-1115,"333 Westchester Ave , White Plains, NY 10604",https://www.lothropassociates.com/,Member Since: 2024,Processed
architecture-architects,Narska Architects,(845) 249-5051,"41 Barker St, Mount Kisco, NY 10549",https://www.narska.com/,Member Since: 2025,Processed
architecture-architects,PS&S,,"One Larking Plaza 2nd Floor, Yonkers, NY 10701",https://www.psands.com/,Member Since: 2022,Processed
architecture-architects,Walk Your Plans New York,,,https://www.walkyourplansnewyork.com/,Member Since: 2025,Processed
architecture-architects,"EnviroSpace Architecture, DPC",(914) 777-2727,"451 East Boston Post Road, Mamaroneck, NY 10543",https://www.envirospacearch.com/,Member Since: 2003,Processed
architecture-architects,MEMASI,,"2 Lyon Place, White Plains, NY 10601",https://www.memasidesign.com/,Member Since: 2020,Processed
architecture-architects,MKL Design Studio LLC,,"14 Churchill Road, Rye Brook, NY 10573",https://www.mkldesignstudio.com/,Member Since: 2018,Processed
art-galleries,ArtsWestchester,(914) 428-4220,"31 Mamaroneck Avenue Floor 3, White Plains, NY 10601",https://www.artswestchester.org/,Member Since: 2000,Processed
art-galleries,Clay Art Center,(914) 937-2047,"40 Beech Street, Port Chester, NY 10573",https://www.clayartcenter.org/,Member Since: 2018,Processed
art-galleries,The Rye Arts Center,,"51 Milton Road, Rye, NY 10580",https://www.ryeartscenter.org/,Member Since: 2022,Processed
artificial-intelligence,RoundTable Technology,,"240 W.40th Street, 2nd Floor Suite 323, New York, NY 10018",https://www.roundtabletechnology.com/,Member Since: 2025,Processed
artists,ArtsWestchester,(914) 428-4220,"31 Mamaroneck Avenue Floor 3, White Plains, NY 10601",https://www.artswestchester.org/,Member Since: 2000,Processed
attorneys-&-legal-services,"Abrams Fensterman, LLP",,"81 Main Street Suite 400, White Plains, NY 10601",https://www.abramslaw.com/,Member Since: 2021,Processed
attorneys-&-legal-services,Akerman LLP,,"666 5th Ave 20th Floor, New York, NY 10103",https://www.akerman.com/,Member Since: 2020,Processed
attorneys-&-legal-services,"Amicucci Associates, P.C.",(914) 557-8248,"62 Highview Terrace, Pleasantville, NY 10570",,Member Since: 2025,Processed
attorneys-&-legal-services,"Berkman, Bottger, Newman & Schein LLP",,"521 Fifth Avenue 31st Floor, New York, NY 10175",https://www.berkbot.com/,Member Since: 2019,Processed
attorneys-&-legal-services,"Bond, Schoeneck & King PLLC",,"10 Bank Street Suite 1120, White Plains, NY 10606",https://www.bsk.com/,Member Since: 2021,Processed
attorneys-&-legal-services,Cohen & Siegel PLLC,(914) 421-0080,"14 Mamaroneck Ave. Suite 401, White Plains, NY 10601",https://www.cohenandsiegellaw.com/,Member Since: 2024,Processed
